CHAVE DE ACESSO,MODELO,SÉRIE,NÚMERO,NATUREZA DA OPERAÇÃO,DATA EMISSÃO,CPF/CNPJ Emitente,RAZÃO SOCIAL EMITENTE,INSCRIÇÃO ESTADUAL EMITENTE,UF EMITENTE,MUNICÍPIO EMITENTE,CNPJ DESTINATÁRIO,NOME DESTINATÁRIO,UF DESTINATÁRIO,INDICADOR IE DESTINATÁRIO,DESTINO DA OPERAÇÃO,CONSUMIDOR FINAL,PRESENÇA DO COMPRADOR,NÚMERO PRODUTO,DESCRIÇÃO DO PRODUTO/SERVIÇO,CÓDIGO NCM/SH,NCM/SH (TIPO DE PRODUTO),CFOP,QUANTIDADE,UNIDADE,VALOR UNITÁRIO,VALOR TOTAL
,,,,,,,,,,,,,,,,,,Produto 97,Produto 97,,Produto 97,,10,,472.87,472.87
,,,,,,,,,,,,,,,,,,Produto 36,Produto 36,,Produto 36,,14,,437.73,437.73
,,,,,,,,,,,,,,,,,,Produto 3,Produto 3,,Produto 3,,17,,38.97,38.97
,,,,,,,,,,,,,,,,,,Produto 99,Produto 99,,Produto 99,,12,,121.55,121.55
,,,,,,,,,,,,,,,,,,Produto 33,Produto 33,,Produto 33,,13,,2.88,2.88
,,,,,,,,,,,,,,,,,,Produto 24,Produto 24,,Produto 24,,3,,455.49,455.49
,,,,,,,,,,,,,,,,,,Produto 54,Produto 54,,Produto 54,,13,,317.63,317.63
,,,,,,,,,,,,,,,,,,Produto 99,Produto 99,,Produto 99,,4,,266.53,266.53
,,,,,,,,,,,,,,,,,,Produto 36,Produto 36,,Produto 36,,11,,463.76,463.76
,,,,,,,,,,,,,,,,,,Produto 41,Produto 41,,Produto 41,,10,,50.17,50.17
,,,,,,,,,,,,,,,,,,Produto 28,Produto 28,,Produto 28,,16,,28.78,28.78
,,,,,,,,,,,,,,,,,,Produto 40,Produto 40,,Produto 40,,6,,312.95,312.95
,,,,,,,,,,,,,,,,,,Produto 27,Produto 27,,Produto 27,,12,,168.03,168.03
,,,,,,,,,,,,,,,,,,Produto 86,Produto 86,,Produto 86,,3,,257.24,257.24
,,,,,,,,,,,,,,,,,,Produto 60,Produto 60,,Produto 60,,14,,135.03,135.03
,,,,,,,,,,,,,,,,,,Produto 23,Produto 23,,Produto 23,,15,,152.77,152.77
,,,,,,,,,,,,,,,,,,Produto 30,Produto 30,,Produto 30,,19,,378.94,378.94
,,,,,,,,,,,,,,,,,,Produto 27,Produto 27,,Produto 27,,8,,65.72,65.72
,,,,,,,,,,,,,,,,,,Produto 15,Produto 15,,Produto 15,,3,,166.07,166.07
,,,,,,,,,,,,,,,,,,Produto 83,Produto 83,,Produto 83,,11,,283.72,283.72
,,,,,,,,,,,,,,,,,,Produto 72,Produto 72,,Produto 72,,5,,379.45,379.45
,,,,,,,,,,,,,,,,,,Produto 78,Produto 78,,Produto 78,,5,,405.45,405.45
,,,,,,,,,,,,,,,,,,Produto 36,Produto 36,,Produto 36,,6,,446.74,446.74
,,,,,,,,,,,,,,,,,,Produto 48,Produto 48,,Produto 48,,10,,420.62,420.62
,,,,,,,,,,,,,,,,,,Produto 44,Produto 44,,Produto 44,,10,,313.62,313.62
,,,,,,,,,,,,,,,,,,Produto 13,Produto 13,,Produto 13,,14,,234.18,234.18
,,,,,,,,,,,,,,,,,,Produto 79,Produto 79,,Produto 79,,5,,437.98,437.98
,,,,,,,,,,,,,,,,,,Produto 48,Produto 48,,Produto 48,,12,,50.15,50.15
,,,,,,,,,,,,,,,,,,Produto 62,Produto 62,,Produto 62,,2,,366.16,366.16
,,,,,,,,,,,,,,,,,,Produto 7,Produto 7,,Produto 7,,11,,135.08,135.08
,,,,,,,,,,,,,,,,,,Produto 38,Produto 38,,Produto 38,,11,,277.95,277.95
,,,,,,,,,,,,,,,,,,Produto 52,Produto 52,,Produto 52,,11,,402.70,402.70
,,,,,,,,,,,,,,,,,,Produto 8,Produto 8,,Produto 8,,13,,362.97,362.97
,,,,,,,,,,,,,,,,,,Produto 82,Produto 82,,Produto 82,,3,,91.99,91.99
,,,,,,,,,,,,,,,,,,Produto 80,Produto 80,,Produto 80,,6,,421.95,421.95
,,,,,,,,,,,,,,,,,,Produto 79,Produto 79,,Produto 79,,15,,189.18,189.18
,,,,,,,,,,,,,,,,,,Produto 43,Produto 43,,Produto 43,,5,,106.42,106.42
,,,,,,,,,,,,,,,,,,Produto 60,Produto 60,,Produto 60,,6,,155.99,155.99
,,,,,,,,,,,,,,,,,,Produto 43,Produto 43,,Produto 43,,4,,347.25,347.25
